task_id,experiment,method,seed,gate_type,theta,q0,q1,separation,chi_max,tdvp_substeps,gate_index,gate_count,sequence,fidelity,raw_overlap,infidelity,vec_error,norm_before,norm_after,max_obs_error,rms_obs_error,runtime_s,max_bond,bond_profile,param_count,discarded_weight_gate,discarded_weight_cumulative,lanczos_tol,x_fraction,angle_index,reuse_source,failure_message,variational_objective_initial,variational_objective_final,variational_sweeps,variational_converged,variational_failed
52c1decdbb2dfe87d3fbe8afb766a082130fabb82feac292fe9ab05b805c70fa,single_gate_angle_v4,exact,11,rxx,0.0,2,9,7,,,0,1,,0.9999999999999973,0.9999999999999973,2.6645352591003757e-15,0.0,0.9999999999999996,0.9999999999999996,0.0,0.0,0.0,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",936,0.0,0.0,1e-12,0.0,-1,,,,,,,
bfc01d2e1b93ea47833f6581d0c92f96c4999f8315394d11224f7b32fb3b1762,single_gate_angle_v4,exact,11,ryy,0.0,2,9,7,,,0,1,,0.9999999999999973,0.9999999999999973,2.6645352591003757e-15,0.0,0.9999999999999996,0.9999999999999996,0.0,0.0,0.0,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",936,0.0,0.0,1e-12,0.0,-1,,,,,,,
e0791286144f4790f0af324c83d5ba646ce133275f52d3d85f58f4f1561cfcc1,single_gate_angle_v4,exact,11,rzz,0.0,2,9,7,,,0,1,,0.9999999999999973,0.9999999999999973,2.6645352591003757e-15,0.0,0.9999999999999996,0.9999999999999996,0.0,0.0,0.0,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",936,0.0,0.0,1e-12,0.0,-1,,,,,,,
433a71504c523e7178f66fc82c9269fd7c5912194e314550b2e90d33d24cb2ee,single_gate_angle_v4,exact,22,rxx,0.0,2,9,7,,,0,1,,1.0000000000000053,1.0000000000000053,0.0,0.0,1.0000000000000016,1.0000000000000016,0.0,0.0,0.0,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",936,0.0,0.0,1e-12,0.0,-1,,,,,,,
ee9ff3fc0ce82e55c5585c66ba47b57a0c57b319803c8086180a101a3771cf6d,single_gate_angle_v4,exact,22,ryy,0.0,2,9,7,,,0,1,,1.0000000000000053,1.0000000000000053,0.0,0.0,1.0000000000000016,1.0000000000000016,0.0,0.0,0.0,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",936,0.0,0.0,1e-12,0.0,-1,,,,,,,
aa3df1b079f45bfb8291b7151254a7fca7b9034180c7858c0efc58339983c6d6,single_gate_angle_v4,exact,22,rzz,0.0,2,9,7,,,0,1,,1.0000000000000053,1.0000000000000053,0.0,0.0,1.0000000000000016,1.0000000000000016,0.0,0.0,0.0,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",936,0.0,0.0,1e-12,0.0,-1,,,,,,,
db8dca4c58ede8707f7c26531f547c00f83b967a527aa7804116dbccae361fe9,single_gate_angle_v4,exact,33,rxx,0.0,2,9,7,,,0,1,,0.9999999999999987,0.9999999999999987,1.3322676295501878e-15,0.0,0.9999999999999998,0.9999999999999998,0.0,0.0,0.0,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",936,0.0,0.0,1e-12,0.0,-1,,,,,,,
0b1db6d84686c6a7006fc34a7f30a7efc1b6042a5e085e58e9815343dc915e63,single_gate_angle_v4,exact,33,ryy,0.0,2,9,7,,,0,1,,0.9999999999999987,0.9999999999999987,1.3322676295501878e-15,0.0,0.9999999999999998,0.9999999999999998,0.0,0.0,0.0,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",936,0.0,0.0,1e-12,0.0,-1,,,,,,,
8488d76e36c0b1edf26ca96ba08202883bdc7c79d6c22cf1d439fc837346c076,single_gate_angle_v4,exact,33,rzz,0.0,2,9,7,,,0,1,,0.9999999999999987,0.9999999999999987,1.3322676295501878e-15,0.0,0.9999999999999998,0.9999999999999998,0.0,0.0,0.0,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",936,0.0,0.0,1e-12,0.0,-1,,,,,,,
1b361ce79e1bd3d1306e2646fb56713f2862a042f92d779e2bcc9db4cb235b1b,single_gate_angle_v4,hybrid_tdvp,11,rxx,0.0,2,9,7,8,1,0,1,,0.9999999999999982,0.9999999999999982,1.7763568394002505e-15,3.071007892117949e-15,0.9999999999999996,0.9999999999999998,2.220446049250313e-15,7.355344195822935e-16,0.010051778983324766,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",936,3.0282032933201223e-32,3.0282032933201223e-32,1e-12,0.0,-1,,,,,,,
