task_id,experiment,method,seed,gate_type,theta,q0,q1,separation,chi_max,tdvp_substeps,gate_index,gate_count,sequence,fidelity,raw_overlap,infidelity,vec_error,norm_before,norm_after,max_obs_error,rms_obs_error,runtime_s,max_bond,bond_profile,param_count,discarded_weight_gate,discarded_weight_cumulative,lanczos_tol
7ee22817e75cf5a1c72ce144584b69e0d16235d65cd633736eba636e4e984bbc,A,exact,11,rxx,0.025,2,9,7,,,1,1,,0.9999999999999987,0.9999999999999987,1.3322676295501878e-15,0.0,0.9999999999999996,0.9999999999999992,0.0,0.0,0.0,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",936,0.0,0.0,1e-12
e1d5d0107ea67650d375eae22189fbb48b81ad952def92dfdbc7533ab4c71521,A,exact,11,rxx,0.05,2,9,7,,,1,1,,0.999999999999998,0.999999999999998,1.9984014443252818e-15,0.0,0.9999999999999996,0.9999999999999997,0.0,0.0,0.0,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",936,0.0,0.0,1e-12
fa0ea92fb89a808d3543d4d0738b5faa5eb80f35a11985c842aea67095d8d84b,A,exact,11,rxx,0.1,2,9,7,,,1,1,,0.9999999999999987,0.9999999999999987,1.3322676295501878e-15,0.0,0.9999999999999996,0.9999999999999997,0.0,0.0,0.0,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",936,0.0,0.0,1e-12
58245fb5658ff5cc479b403db134d2b4f4053c4047ed118536b0583a564fba90,A,exact,11,rxx,0.2,2,9,7,,,1,1,,0.9999999999999982,0.9999999999999982,1.7763568394002505e-15,0.0,0.9999999999999996,0.9999999999999999,0.0,0.0,0.0,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",936,0.0,0.0,1e-12
7907a3c61fad2f304331b3c50583eb6847c09a5e240b50a4343df03cb4b19b54,A,exact,11,ryy,0.025,2,9,7,,,1,1,,0.9999999999999987,0.9999999999999987,1.3322676295501878e-15,0.0,0.9999999999999996,0.9999999999999991,0.0,0.0,0.0,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",936,0.0,0.0,1e-12
4fc4228c9ac2ed70022ec1e5ff707af0e010d57cef2e083883e9387a14a231d5,A,exact,11,ryy,0.05,2,9,7,,,1,1,,0.9999999999999978,0.9999999999999978,2.220446049250313e-15,0.0,0.9999999999999996,0.9999999999999997,0.0,0.0,0.0,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",936,0.0,0.0,1e-12
cf441a1fd09b1fb9f58ef27e4099e79aa5fef0be6362d15e70e5acfe97c3c40b,A,exact,11,ryy,0.1,2,9,7,,,1,1,,0.9999999999999982,0.9999999999999982,1.7763568394002505e-15,0.0,0.9999999999999996,0.9999999999999998,0.0,0.0,0.0,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",936,0.0,0.0,1e-12
a169ef233696609d5438ec77d6905fc975dbe1d34bb2a3984e0637837accd110,A,exact,11,ryy,0.2,2,9,7,,,1,1,,0.9999999999999987,0.9999999999999987,1.3322676295501878e-15,0.0,0.9999999999999996,0.9999999999999996,0.0,0.0,0.0,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",936,0.0,0.0,1e-12
832871f8456e60b019c52ad8dad1a61660aff869251face4dd94aa6b9a42efd0,A,exact,11,rzz,0.025,2,9,7,,,1,1,,0.9999999999999987,0.9999999999999987,1.3322676295501878e-15,0.0,0.9999999999999996,0.9999999999999993,0.0,0.0,0.0,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",936,0.0,0.0,1e-12
ac463ad512800007a18c62a4317b3c05bf158b4977ebb7c3a48a2994b7faffb5,A,exact,11,rzz,0.05,2,9,7,,,1,1,,0.999999999999998,0.999999999999998,1.9984014443252818e-15,0.0,0.9999999999999996,0.9999999999999994,0.0,0.0,0.0,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",936,0.0,0.0,1e-12
e26a41776ec5ea78fd172422ce40e1593a42a2a4e90a0014d2a00b849d70d356,A,exact,11,rzz,0.1,2,9,7,,,1,1,,0.999999999999998,0.999999999999998,1.9984014443252818e-15,0.0,0.9999999999999996,0.9999999999999994,0.0,0.0,0.0,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",936,0.0,0.0,1e-12
