step,phase,loss,fidelity,step_size,gradient_norm,update_norm
0,init,0.9257863871337166,0.07421361286628336,0.0,0.0,0.0
1,batch,0.8755252912810007,0.12447470871899938,0.5,0.30841688269981216,0.15420844134990608
2,batch,0.8184988000974515,0.1815011999025485,0.5,0.34045676773783345,0.17022838386891673
3,batch,0.7680275648600752,0.23197243513992483,0.5,0.3295307827035181,0.16476539135175905
4,batch,0.7273697948045741,0.2726302051954259,0.5,0.29142556211607845,0.14571278105803923
5,batch,0.6858475483772624,0.31415245162273764,0.5,0.2828503579782114,0.1414251789891057
6,batch,0.6350741213864182,0.3649258786135818,0.5,0.31034232388950594,0.15517116194475297
7,batch,0.5730940065844408,0.4269059934155592,0.5,0.34538414477780616,0.1726920723889031
8,batch,0.5036457422062144,0.4963542577937856,0.5,0.37128437728762115,0.1856421886438106
9,batch,0.4345632489857634,0.5654367510142366,0.5,0.37566361013469785,0.18783180506734892
10,batch,0.37119933244415126,0.6288006675558487,0.5,0.36161106565056184,0.1808055328252809
11,batch,0.31473779772687815,0.6852622022731218,0.5,0.34198540379829706,0.1709927018991485
12,batch,0.26595036707047026,0.7340496329295297,0.5,0.31936419845217234,0.15968209922608614
13,batch,0.22554207855866915,0.7744579214413309,0.5,0.2919960965352375,0.14599804826761875
14,batch,0.19302435684816122,0.8069756431518388,0.5,0.26265700479863013,0.13132850239931507
15,batch,0.16734761529604147,0.8326523847039585,0.5,0.23633619203978923,0.11816809601989457
16,batch,0.14946729243653567,0.8505327075634643,0.5,0.2269185118052032,0.11345925590260161
17,batch,0.16283767665091675,0.8371623233490832,0.5,0.31181159481796694,0.15590579740898347
18,batch,0.3826446885613495,0.6173553114386505,0.5,0.7521096234020939,0.37605481170104693
19,batch,0.8762107191047427,0.12378928089525729,0.5,1.7173718555128292,0.8586859277564146
20,batch,0.11154790726343777,0.8884520927365622,0.5,1.1490962206252253,0.5745481103126127
21,batch,0.10970082246304658,0.8902991775369534,0.5,0.2906738521334992,0.1453369260667496
22,batch,0.16720504978975304,0.832794950210247,0.5,0.4700855949705418,0.2350427974852709
23,batch,0.4923717124708563,0.5076282875291437,0.5,1.044675345150838,0.522337672575419
24,batch,0.7722854912322702,0.22771450876772983,0.5,1.7913887965718087,0.8956943982859044
25,batch,0.23379991101151842,0.7662000889884816,0.5,1.4778383911683675,0.7389191955841837
26,batch,0.6723659588664734,0.3276340411335266,0.5,1.3693649484248531,0.6846824742124266
27,batch,0.4894219270845084,0.5105780729154916,0.5,1.7011033542176317,0.8505516771088159
28,batch,0.6926721353330615,0.3073278646669385,0.5,1.7487718933264578,0.8743859466632289
29,batch,0.3535462116446081,0.6464537883553919,0.5,1.605449157508226,0.802724578754113
30,batch,0.6658290937250945,0.33417090627490553,0.5,1.589319818087107,0.7946599090435535
31,batch,0.3634943154894882,0.6365056845105118,0.5,1.6199789495082288,0.8099894747541143
32,batch,0.615914518282237,0.384085481717763,0.5,1.5774001010469443,0.788700050523472
33,batch,0.39882086668066996,0.60117913331933,0.5,1.643188337876778,0.821594168938389
34,batch,0.5491009596204326,0.45089904037956746,0.5,1.583820061005196,0.791910030502598
35,batch,0.42842684607313486,0.5715731539268651,0.5,1.6454453015682202,0.8227226507841101
36,batch,0.4705076987000033,0.5294923012999967,0.5,1.5722233499029394,0.7861116749514697
37,batch,0.4409195794010783,0.5590804205989217,0.5,1.611464785953493,0.8057323929767465
38,batch,0.4074166261685146,0.5925833738314854,0.5,1.5527615811159947,0.7763807905579974
39,batch,0.4253113433376918,0.5746886566623082,0.5,1.5520903891663091,0.7760451945831546
40,batch,0.3768353134796133,0.6231646865203867,0.5,1.5303643922169652,0.7651821961084827
41,batch,0.3937084208318554,0.6062915791681446,0.5,1.505525417900404,0.752762708950202
42,batch,0.3627117851492615,0.6372882148507385,0.5,1.5021919379049637,0.7510959689524819
43,batch,0.36121743668507367,0.6387825633149263,0.5,1.4718110910273894,0.7359055455136946
44,batch,0.355293513568144,0.644706486431856,0.5,1.4722734924091154,0.7361367462045577
45,batch,0.33824350310329276,0.6617564968967072,0.5,1.447421840984035,0.7237109204920175
46,batch,0.36147241579469447,0.6385275842053055,0.5,1.458115664328279,0.7290578321641393
47,batch,0.3334345064363855,0.6665654935636145,0.5,1.4492106447857984,0.7246053223928992
48,batch,0.38584984153933266,0.6141501584606673,0.5,1.4781955776608162,0.7390977888304081
49,batch,0.34339649012849416,0.6566035098715058,0.5,1.489114538300965,0.7445572691504825
50,batch,0.39441408207019735,0.6055859179298027,0.5,1.5038562013197416,0.7519281006598708
