Iteration,Layerwise_Noiseless
0,0.0034797836720789283
1,0.014562922970807735
2,0.03380929707485525
3,0.043325687797248914
4,0.00962901966340374
5,0.045564871300290126
6,0.003152592371697263
7,0.025192155764267393
8,0.06661766503351346
9,0.000419606887150401
10,0.008751831247325736
11,0.04247792476903188
12,0.018028659615541016
13,0.018028542903676115
14,0.023204137445687903
15,0.05797819186550607
16,0.01941907244964522
17,0.07215791758280969
18,0.001957588878844535
19,0.013512491730396172
20,0.041600472097121324
21,0.05015651513349288
22,0.023319646579772205
23,0.02470973550953845
24,0.0038411703080527635
25,0.054197245054748384
26,0.00959340017909681
27,0.06779518232972025
28,0.01682541714550801
29,0.07333779689233327
30,0.01368633076195774
31,0.04430905721287034
32,0.0028408252447441242
33,0.019099323593600066
34,0.05045486672948199
35,0.06364378984060715
36,0.0024495594690704886
37,0.01875857694195979
38,0.07992490646459657
39,0.023921422052285892
40,0.02658445532594283
41,0.02637866282722736
42,0.029193082962995328
43,0.0189184106666357
44,0.09863186481958007
45,0.005238401084425578
46,0.03281233401398915
47,0.0666913727885816
48,0.040663377483909066
49,0.03113077085129611
50,0.08920928996228233
51,0.017466489806687847
52,0.13043500672085329
53,0.034652524952994576
54,0.01731583087826292
55,0.14846432530352394
56,0.0012048346590943727
57,0.016520950437571843
58,0.14446700798239642
59,0.029366134173660983
60,0.134844481891678
61,0.005563796256905314
62,0.037347971918281354
63,0.08866167164499186
64,0.08716633843563248
65,0.009836917072280883
66,0.10302057487851264
67,0.040176638516696776
68,0.149326309868501
69,0.010192563805425587
70,0.07707443146959099
71,0.1262320082008119
72,0.01015318419775101
73,0.07174247803426068
74,0.14335683274772568
75,0.0031774466088964905
76,0.04805400656573531
77,0.08381853004592385
78,0.0038137581731869726
79,0.039347007159673916
80,0.14835684688315867
81,0.03906949935885699
82,0.16118022627130346
83,0.007553215531965439
84,0.060236811165336815
85,0.138715507583204
86,0.04376958905767123
87,0.06568761406961449
88,0.011683824283805011
89,0.07672021285343393
90,0.19100530944948102
91,0.005112771833319881
92,0.07507134554279588
93,0.11632901952571742
94,0.009220966893790468
95,0.07466447882047558
96,0.1903791605002558
97,0.011756628507208777
98,0.12650917735025716
99,0.1723962347793534
100,0.01324794622559184
101,0.14212017475420213
102,0.12713239905153928
103,0.013402148657939124
104,0.14303592982334792
105,0.11554658311916181
106,0.010621560575324913
107,0.05324693008749918
108,0.15131964254524555
109,0.20901973937335894
110,0.008370820982776814
111,0.06255964076063096
112,0.18358612501105415
113,0.032356860431168456
114,0.271884666603276
115,0.05136162301475178
116,0.26586651338696254
117,0.14185885846093413
118,0.19817150455347982
119,0.13898020798387503
120,0.08057265481587199
121,0.21177698701658296
122,0.00919728086848262
