Iteration,Noisy_Cross_CRN
0,0.004007972225152404
1,0.0040107245146633235
2,0.004013478431440615
3,0.00401623397539007
4,0.004018991146417969
5,0.004021749944430927
6,0.0040245103693358885
7,0.00402727242104029
8,0.004030036099451862
9,0.004032801404478877
10,0.004035568336029938
11,0.004038336894014152
12,0.004041107078340972
13,0.004043878888920371
14,0.004046652325662774
15,0.004049427388479075
16,0.004052204077280647
17,0.0040549823919793365
18,0.004057762332487518
19,0.0040605438987180095
20,0.0040633270905842105
21,0.004066111908000073
22,0.004068898350880004
23,0.00407168641913897
24,0.004074476112692582
25,0.004077267431456824
26,0.004080060375348479
27,0.004082854944284766
28,0.0040856511381835055
29,0.004088448956963238
30,0.0040912484005429205
31,0.004094049468842333
32,0.00409685216178167
33,0.004099656479281971
34,0.004102462421264832
35,0.004105269987652472
36,0.00410807917836785
37,0.004110889993334516
38,0.004113702432476742
39,0.004116516495719566
40,0.004119332182988629
41,0.004122149494210373
42,0.004124968429311911
43,0.004127788988221022
44,0.004130611170866412
45,0.004133434977177308
46,0.004136260407083941
47,0.004139087460517119
48,0.004141916137408538
49,0.004144746437690601
50,0.004147578361296611
